review_id,sentence_id,Time,sentence_type,sentence
1516,145,06-05-2012 00:00,p,"""Flexible hours, Good ownership, Freedom to drive things"""
1509,147,09-05-2012 00:00,s,"""A place where every one would like to work.."""
1509,148,09-05-2012 00:00,p,"""No Dress Codes. They will never kick you out unless or until you're not inclines toward that. You'll always remain visible. No bias. Fair Decisions. Best management team. Awesome strategies. Tech oriented. No website restrictions. You can listen music. A lot of fun activities. Home to office pick up and drop. Floor walk done by senior management every day. Earth's most customer-cen …  tric company Show More"""
1509,149,09-05-2012 00:00,c,"""You'll have to prepare yourself for any kind of assignment. Coffee machines are not as good as Facebook and Google. Frugality is the main principle. Ubuntu will be the working environment."""
1510,151,10-05-2012 00:00,s,"""The best one could get"""
1510,152,10-05-2012 00:00,p,"""The best place to learn, experiment and innovate. Best compensation in the market place and better opportunities in the future."""
1507,154,13-05-2012 00:00,s,"""Great place to be at early stage of your career, learning tech. startup values, soft-skills and cust. obsession."""
1507,155,13-05-2012 00:00,p,"""- Customer Obsession - Startup Values - Agile Style - Invests into the future - Great business exposure"""
1507,156,13-05-2012 00:00,c,"""Following is all about the Bangalore Centre (may be different in other centres) - Poor employee respect and care - Artificially high standards of promoting employees - Management does not care about employees work life balance(in-fact folks promote working on the weekends)  A lot of energy is spent in perception management. Employees in India have to keep proving and showing that they are as good as  …  their US counterparts. Show More"""
1508,158,19-05-2012 00:00,s,"""Amazon review"""
1508,159,19-05-2012 00:00,p,"""Amazon works at scale good people"""
1508,160,19-05-2012 00:00,c,"""lot of work pressure operational work"""
1505,162,26-05-2012 00:00,s,"""Amazing Amazon!"""
1505,163,26-05-2012 00:00,p,"""work culture, ownership, opportunity to do something big!"""
1504,165,01-06-2012 00:00,s,"""Expects you to work 24/7,It is good for machines not humans."""
1504,166,01-06-2012 00:00,p,"""Fast growth for those who are willing to work 24/7"""
1504,167,01-06-2012 00:00,c,"""No work life balance. Have to sit on oncall duty in which we have to literally work 24/7. Bad HR Policy., and employment program. Your growth completely depends on your managers wish."""
1506,169,04-06-2012 00:00,s,"""Has been very good. Hoping for it to get better"""
1506,170,04-06-2012 00:00,p,"""Good work culture, very informal interactions which helps"""
1500,172,07-06-2012 00:00,s,"""A good place to work"""
1500,173,07-06-2012 00:00,p,"""Quality of work , salary , ownership , freedom of doing how you like to do"""
1501,175,08-06-2012 00:00,s,"""Satisfied"""
1501,176,08-06-2012 00:00,p,"""Peers, Opportunites to grow, Good mix of problems to solve at workplace."""
1497,178,09-06-2012 00:00,s,"""It was a fun place to work alongside really good co-workers but we often went to work not knowing if we had enough work"""
1497,179,09-06-2012 00:00,p,"""good experience, Productive and fun work place"""
1497,180,09-06-2012 00:00,c,"""with the growth, constantly understaffed for the amount of work"""
1502,182,10-06-2012 00:00,s,"""good culture... very nice place to learn"""
1502,183,10-06-2012 00:00,p,"""Amazon.com has its unique culture and it helps the employees to learn lot of tings. friendly relationship with higher officials helps in better understanding of work."""
1494,185,15-06-2012 00:00,s,"""Amazon Bang alore, India Review"""
1494,186,15-06-2012 00:00,p,"""Highly technical people. Focus on quality"""
1494,187,15-06-2012 00:00,c,"""Don't expect any facilities, you may have to work in a smaller cabins , or conference rooms."""
1496,189,16-06-2012 00:00,s,"""It's Awesome to be a part of Amazon family"""
1496,190,16-06-2012 00:00,p,"""Great work Culture, It's Awesome to be a part of Amazon family"""
1503,192,16-06-2012 00:00,s,"""Overall, a good experience with many positives and negatives."""
1503,193,16-06-2012 00:00,p,"""1. Very competent peers. 2. If you are in the right team, you can expect a lot of new innovative work. 3. Pretty good pay package (but definitely not the highest in the industry)."""
1503,194,16-06-2012 00:00,c,"""1. A lot of operational work is forced on the developers. This can get frustrating. 2. Sometimes management doesn't really understand your work and its value. This affects promotions/appraisal. 3. Not many facilities inside the office."""
1493,196,19-06-2012 00:00,s,"""challenging work at good pay - but bad work life balance"""
1493,197,19-06-2012 00:00,p,"""Get to do some pretty cool work. Good pay. Exposure to complete tech stack"""
1493,198,19-06-2012 00:00,c,"""Bad work life balance. Long working hours."""
1492,200,20-06-2012 00:00,s,"""Amazing place to work!!!!!!"""
1492,201,20-06-2012 00:00,p,"""Stress free environment with an amazing guidance made me one of the good performer in this company. Express our talent and stand high on the floor!"""
1492,202,20-06-2012 00:00,c,"""Salary is a bit concern, but Amazon is a great step for beginners."""
1498,204,23-06-2012 00:00,s,"""The Best Company to start your career. You can't compare the Growth and work culture Amazon provides."""
1498,205,23-06-2012 00:00,p,"""# Great Work Culture # Talent is the criteria for growth # Best company to start your career. Even as Customer Service Level, you can grow."""
1498,206,23-06-2012 00:00,c,"""* Salary not upto the class * Actions once enforced by Management, never change."""
1491,208,25-06-2012 00:00,s,"""One Beautiful Journey that i have not yet gotten tired even after three years :D"""
1491,209,25-06-2012 00:00,p,"""* Employee Friendly Environment * Freedom to work on personal Projects * Horizontal Work Structure * Good Recognition of Work"""
1491,210,25-06-2012 00:00,c,"""* One tends to get over used to the company's work culture so that he/she finds it hard to adapt elsewhere."""
1499,212,25-06-2012 00:00,s,"""Great company with great values but individual verticals are slightly mismanaged."""
1499,213,25-06-2012 00:00,p,"""Wonderful casual atmosphere, and an extremely employee centric company"""
1495,215,26-06-2012 00:00,s,"""About Amazon com"""
1495,216,26-06-2012 00:00,p,"""Is a very good learning place. If you are with a good manager, your career path will be very good"""
1495,217,26-06-2012 00:00,c,"""Very bad work life balance. In case your relation with manager is not good, your hard work is all wasted, they will screw you way big time, and no one can stop it as well. Any kind of feedback, even annual peer reviews might backfire, specifically if your manager is not on your side. Recently there are too many people who have been hired, and if you are exactly looking to work with real Amazon people, there  …  aren't many. 80% chances that your neighbor is also in Amazon for less than a year. Show More"""
1489,219,28-06-2012 00:00,s,"""Best Company to be with:)"""
1489,220,28-06-2012 00:00,p,"""Growth and true value for your efforts"""
1489,221,28-06-2012 00:00,c,"""Things needs to stabilize a bit more"""
1485,223,30-06-2012 00:00,s,"""Great company to work for, if u r life has nothing other than career. Married men/women beware"""
1485,224,30-06-2012 00:00,p,"""1. Work focused 2. Less of workplace politics 3. Great talents as peers 4. Friendly/informal atmosphere"""
1485,225,30-06-2012 00:00,c,"""1. No work life balance 2. Things are top down. Never cares to listen/hear employees 3. Tries to stereo type employees"""
1486,227,04-07-2012 00:00,s,"""Amazon"""
1486,228,04-07-2012 00:00,p,"""Amazon pays good salary and they give stocks to retain employees for longer periods"""
1487,230,04-07-2012 00:00,s,"""Awesome facilities"""
1487,231,04-07-2012 00:00,p,"""No pressure, strict in deadlines, lift up employees based on their skills, AC cabs"""
1484,233,06-07-2012 00:00,s,"""Amazing Amazon !!!"""
1484,234,06-07-2012 00:00,p,"""My feedback is based on 3 months i have spent in the organization, but i believe intial couple of months provides you the future direction the organization is heading towards 1. Employee get the chance to drive their work. No micro managment by managers. 2. Very flexible in terms of timings to be at work. All that matters is getting the job done. 3. Decent pay compared to other players in the market, but …   they make you work for each rupee they give you 4. Fun to be at work place with very informal peers and managers. Looking at the person you can never judge if he/she is junior resource or senior. 5. Excellent monetary benefits like Sodexo, internet re-imbursement, Gym re-imbursement and home pickup and drop facility Show More"""
