review_id,sentence_id,Time,sentence_type,sentence
277,91,2012-06-16 00:00:00,c,"""very hard to earn some pennies"""
280,93,2012-06-16 00:00:00,s,"""""Amazing culture, great experience"""""
280,94,2012-06-16 00:00:00,p,"""Perks, benefits and of course, the culture. Constant innovation and working with the brightest minds."""
275,96,2012-06-25 00:00:00,s,"""""Amazing Workplace"""""
275,97,2012-06-25 00:00:00,p,"""1. Culture 2. People 3. Freedom not just in Engineering but all other depts"""
275,98,2012-06-25 00:00:00,c,"""1. Slowing moving towards bureaucracy 2. In India Indian managers are after all Indian so Google US/EU/AUS is much better than India."""
276,100,2012-06-25 00:00:00,s,"""""It was undoubtedly, the best place to work at, could've been even better if some checks were taken in time."""""
276,101,2012-06-25 00:00:00,p,"""Employee satisfaction oriented. Good paymasters. Fantastic work/life balance."""
276,102,2012-06-25 00:00:00,c,"""Do not take action timely and corrective action against management."""
274,104,2012-06-26 00:00:00,s,"""""why to join google"""""
274,105,2012-06-26 00:00:00,p,"""It provides you good salary,better working condition,and best of all it provides you job in your hometown."""
274,106,2012-06-26 00:00:00,c,"""you have to work very hard.It is very hard to find out spare time for yourself."""
271,108,2012-07-09 00:00:00,s,"""""awesome place to work...greater responsibility and greater values are delivered always...its like a second home..lovd :)"""""
271,109,2012-07-09 00:00:00,p,"""lovely ambiance and atmosphere, ppl r freindly, job satisfaction, greater technology access. Everything at your feet."""
271,110,2012-07-09 00:00:00,c,"""Sometimes a limited access to operations and no compatibility between teams I feel..which are interconnected in a project."""
272,112,2012-07-11 00:00:00,s,"""""Great Experience"""""
272,113,2012-07-11 00:00:00,p,"""Great Environment No Stress Cool Culture Flexible work timings"""
268,115,2012-07-18 00:00:00,s,"""""Best Company to work for"""""
268,116,2012-07-18 00:00:00,p,"""Employee friendly Great exposure & People"""
268,117,2012-07-18 00:00:00,c,"""Low chances of growth after a point"""
265,119,2012-07-23 00:00:00,s,"""""Great place to work for!"""""
265,120,2012-07-23 00:00:00,p,"""The best reasons to work for Google are: Number 1 place to work for in India, Great environment, Free food, Transport, Games, Christmas gifts."""
270,122,2012-07-25 00:00:00,s,"""""Google Gurgaon, India - Kind Of the Best Place To Work"""""
270,123,2012-07-25 00:00:00,p,"""If you're looking for unlimited food, no hassle travelling, massage parlor at work and some really GOOD first hand knowledge of SEM this is your place to be."""
270,124,2012-07-25 00:00:00,c,"""But then...if you're looking to grow beyond a point, and not be invlovled in crazy office politics or want salaries that are up to the mark according to industry standards...you shouldn't be here. Yes, they pamper you. So much so that you forget that professionally you're probably not doing much at all. But that only lasts, 2..3...or even 4 years. Before you realize what is really happening."""
269,126,2012-07-30 00:00:00,s,"""""nice experience"""""
269,127,2012-07-30 00:00:00,p,"""Very talented people and good culture."""
267,129,2012-07-31 00:00:00,s,"""""India's best Employer for 3 times in a row"""""
